teacher,student,rep,budget,action_acc,sequence_success,control
mlp,fly7103,2,128,0.5833333333333334,0.125,correct
mlp,fly7103,2,256,0.75,0.375,correct
mlp,fly7103,2,512,1.0,1.0,correct
mlp,fly7103,3,0,0.375,0.0,correct
mlp,fly7103,3,32,0.625,0.125,correct
mlp,fly7103,3,64,0.5833333333333334,0.125,correct
mlp,fly7103,3,128,0.6666666666666666,0.125,correct
mlp,fly7103,3,256,0.75,0.25,correct
mlp,fly7103,3,512,1.0,1.0,correct
transformer,fly7102,2,0,0.5833333333333334,0.125,correct
transformer,fly7102,2,32,0.5833333333333334,0.125,correct
transformer,fly7102,2,64,0.625,0.125,correct
transformer,fly7102,2,128,0.5,0.125,correct
transformer,fly7102,2,256,0.8333333333333334,0.5,correct
transformer,fly7102,2,512,1.0,1.0,correct
transformer,fly7102,3,0,0.5833333333333334,0.125,correct
transformer,fly7102,3,32,0.5833333333333334,0.125,correct
transformer,fly7102,3,64,0.5833333333333334,0.125,correct
transformer,fly7102,3,128,0.5833333333333334,0.125,correct
transformer,fly7102,3,256,0.625,0.125,correct
transformer,fly7102,3,512,0.9583333333333334,0.875,correct
transformer,fly7103,2,0,0.375,0.0,correct
transformer,fly7103,2,32,0.5833333333333334,0.25,correct
transformer,fly7103,2,64,0.625,0.25,correct
transformer,fly7103,2,128,0.625,0.125,correct
transformer,fly7103,2,256,0.7083333333333334,0.125,correct
transformer,fly7103,2,512,1.0,1.0,correct
transformer,fly7103,3,0,0.375,0.0,correct
transformer,fly7103,3,32,0.5416666666666666,0.0,correct
transformer,fly7103,3,64,0.5833333333333334,0.125,correct
transformer,fly7103,3,128,0.6666666666666666,0.25,correct
transformer,fly7103,3,256,0.7916666666666666,0.5,correct
transformer,fly7103,3,512,0.9583333333333334,0.875,correct
transformer,fly7102,1,768,1.0,1.0,correct
transformer,fly7102,3,768,1.0,1.0,correct
transformer,fly7103,3,768,1.0,1.0,correct
